Age	Gender	Speaker	Vowel	Context	F1	F2
O	F	F1961	e	gem	514.773	1657.364
O	F	F1957	e	stef	547.583	1544.124
O	F	F1957	e	jess	569.28	1524.094
O	F	F1957	e	bet	553.493	1510.206
O	F	F1957	e	neck	565.488	1655.227
O	F	F1957	e	sell	546.878	1492.579
O	F	F1957	e	belly	481.081	1525.696
O	F	F1957	e	gem	498.368	1660.034
O	F	F1957	e	pen	526.857	1630.656
O	F	F1957	e	says	512.657	1605.284
O	F	F1957	e	bed	473.496	1667.512
O	F	F1957	e	beg	515.214	1677.928
O	F	F1952	e	bet	541.409	1626.65
O	F	F1952	e	bed	530.826	1678.729
O	F	F1952	e	pen	499.162	1638.401
O	F	F1952	e	says	482.493	1595.67
O	F	F1952	e	sell	463.001	1499.79
O	F	F1952	e	neck	512.568	1576.44
O	F	F1952	e	belly	554.375	1507.802
O	F	F1952	e	stef	528.003	1627.451
O	F	F1952	e	beg	477.994	1666.978
O	F	F1952	e	jess	544.055	1656.028
O	F	F1952	e	gem	471.468	1628.787
O	F	F1950	e	bet	553.934	1671.519
O	F	F1950	e	bed	559.931	1776.211
O	F	F1950	e	pen	546.613	1719.859
O	F	F1950	e	says	508.07	1642.675
O	F	F1950	e	sell	554.286	1430.885
O	F	F1950	e	neck	606.324	1712.915
O	F	F1950	e	belly	519.448	1490.71
O	F	F1950	e	stef	567.075	1668.314
O	F	F1950	e	beg	512.657	1809.329
O	F	F1950	e	jess	576.513	1605.551
O	F	F1950	e	gem	535.676	1570.565
O	F	F1937	e	bet	530.826	1633.327
O	F	F1937	e	bed	438.217	1724.666
O	F	F1937	e	pen	533.56	1642.675
O	F	F1937	e	says	543.35	1578.31
O	F	F1937	e	sell	480.199	1537.982
O	F	F1937	e	neck	512.216	1688.611
O	F	F1937	e	belly	533.913	1545.994
O	F	F1937	e	stef	510.363	1757.783
O	F	F1937	e	beg	510.011	1764.994
O	F	F1937	e	jess	509.217	1782.621
O	F	F1937	e	gem	438.217	1729.206
