Age	Gender	Speaker	Vowel	Context	F1	F2
O	F	F1957	u	run	542.115	1228.977
O	F	F1957	u	buzz	572.014	1266.635
O	F	F1957	u	hug	565.4	1268.504
O	F	F1957	u	mud	598.651	1293.075
O	F	F1952	u	fuss	603.854	1307.497
O	F	F1952	u	hug	584.274	1324.857
O	F	F1952	u	rough	553.316	1287.734
O	F	F1952	u	buzz	602.708	1323.522
O	F	F1952	u	gull	530.385	1194.525
O	F	F1952	u	mud	565.929	1292.007
O	F	F1952	u	stuck	568.575	1391.625
O	F	F1952	u	mutt	572.632	1305.628
O	F	F1952	u	gully	557.726	1192.923
O	F	F1952	u	run	741.886	1358.775
O	F	F1952	u	gum	375.066	1364.384
O	F	F1950	u	fuss	548.377	1246.871
O	F	F1950	u	hug	571.485	1322.186
O	F	F1950	u	rough	560.813	1253.548
O	F	F1950	u	buzz	535.235	1267.436
O	F	F1950	u	gull	544.232	1169.153
O	F	F1950	u	mud	573.073	1286.665
O	F	F1950	u	stuck	572.985	1265.834
O	F	F1950	u	mutt	607.823	1260.225
O	F	F1950	u	gully	547.76	1256.219
O	F	F1950	u	run	580.746	1249.809
O	F	F1950	u	gum	586.214	1259.691
O	F	F1937	u	fuss	584.539	1267.703
O	F	F1937	u	hug	531.972	1293.876
O	F	F1937	u	rough	577.924	1286.398
O	F	F1937	u	buzz	557.55	1296.013
O	F	F1937	u	gull	559.843	1274.38
O	F	F1937	u	mud	509.217	1314.174
O	F	F1937	u	stuck	591.418	1296.28
O	F	F1937	u	mutt	591.33	1303.491
O	F	F1937	u	gully	523.505	1268.771
O	F	F1937	u	run	597.416	1323.254
O	F	F1937	u	gum	562.489	1272.778
