speaker,vowel/frame,context,F1,F2
M1961,o,sock,779.742022,1241.097933
M1961,o,cause,790.1479109,1184.587526
M1961,o,nod,779.0489192,1231.550493
M1961,o,holly,729.6432885,1156.016496
M1961,o,gone,723.1648484,1222.745614
M1961,o,soft,768.2624269,1262.331843
M1961,o,mom,855.5965036,1327.762151
M1961,o,lot,721.0893881,1146.681333
M1961,OR,door,557.055816,993.1791063
M1961,OR,george,499.3497044,1068.809254
M1961,OR,poured,521.2867562,847.6478227
M1961,OU,kosher,587.7276614,1273.910255
M1961,OU,crow,614.7061986,1292.479302
M1961,OU,stone,623.4285621,1511.20008
M1961,u,fuss,810.2537765,1467.41988
M1961,u,hug,660.9213923,1428.408331
M1961,u,rough,694.2058922,1401.253854
M1961,u,buzz,697.972369,1381.670571
M1961,u,gull,661.0473735,1163.335761
M1961,u,mud,711.2284963,1431.559926
M1961,u,stuck,699.6575308,1479.865103
M1961,u,mutt,772.6000077,1476.271235
M1961,u,gully,719.7005721,1227.509353
M1961,u,run,739.0148256,1457.105433
M1961,u,gum,726.830429,1403.796763
M1961,UU,supermarket,422.1494411,1516.809105
M1961,UU,room,455.0691549,1534.797624
M1961,UU,food,488.0023034,1222.526909
M1960,ae,staff,974.1639585,1532.167073
M1960,ae,stack,877.5855975,1574.628968
M1960,ae,ham,816.7077309,1747.072872
M1960,ae,lab,768.3655504,1631.790295
M1960,ae,pass,881.8236479,1653.090687
M1960,ae,valley,749.5286199,1439.047762
M1960,ae,jazz,725.1016085,1682.538129
M1960,ae,bad,695.3179362,1900.847683
M1960,ae,pan,737.3692998,2146.889506
M1960,ae,rat,860.7240158,1714.317056
M1960,ae,sal,792.0626674,1436.575179
M1960,AI,buy,796.5406976,1403.988149
M1960,AI,mike,753.0730863,1796.407517
M1960,AI,mike,759.4324947,1653.262449
M1960,e,bet,691.5696139,1877.057025
M1960,e,bed,616.4460492,1948.521253
M1960,e,pen,680.6445816,2034.777235
M1960,e,says,624.4588444,1715.291772
M1960,e,sell,666.4379927,1519.440956
M1960,e,neck,753.2656889,1875.847316
M1960,e,belly,660.7433337,1617.346732
M1960,e,stef,699.6795413,1640.730496
M1960,e,beg,567.0260591,1861.487811
M1960,e,jess,697.1113091,1765.410088
M1960,e,gem,723.8226086,1891.552651
M1960,EI,make,673.9058141,1798.901992
M1960,EI,make,685.8264156,1797.362688
M1960,EI,game,517.0372905,2048.927034
M1960,EI,play,548.9144873,1662.911924
M1960,I,bit,489.5070472,1864.818364
M1960,II,sleep,334.0177685,2395.707716
M1960,II,believe,352.3134206,2431.366711
M1960,II,easy,337.634175,2442.211871
M1960,II,keeps,288.7375079,2346.728076
M1960,II,clean,475.9815806,1869.174674
M1960,II,treat,324.9367959,2199.893081
M1960,o,mall,810.2580476,1061.143576
M1960,o,loss,822.5146754,1143.371026
M1960,o,knob,854.2854916,1181.535472
M1960,o,sock,792.2188348,1153.979487
M1960,o,cause,760.1506628,1090.871318
M1960,o,nod,882.4067941,1232.524033
M1960,o,holly,710.3024991,928.1057934
M1960,o,gone,801.0983923,1147.652769
M1960,o,soft,727.0788278,1096.427828
M1960,o,calm,783.9907692,1125.631603
M1960,o,lot,991.5134754,1179.340584
M1960,OR,door,626.7623034,1069.031087
M1960,OR,george,842.9896675,1676.138109
M1960,OR,poured,893.3417786,1816.88572
M1960,OU,kosher,500,950
M1960,OU,crow,600,1050
