"Subject","Gender","Age","BirthYear","LabovHierarchy","Trial","Trial_c","F1","F2","F1_c","F2_c","RT","RT_c","LogRT","LogRT_c","Response","ChosenVowel","F1_ae","F2_ae","F1_e","F2_e","F1_o","F2_o","F1_u","F2_u","ED_e","ED_ae","ED_both"
"M1988","M","young",1988,2,23,-31.5,900,1550,75,-25,1038,508.050223214286,6.94505106372583,0.848268213062851,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,24,-30.5,900,1950,75,375,2091,1561.05022321429,7.64539769942863,1.54861484876565,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,25,-29.5,900,1300,75,-275,1999,1469.05022321429,7.6004023345004,1.50361948383742,"BUT","u",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,26,-28.5,700,1800,-125,225,870,340.050223214286,6.76849321164863,0.671710360985647,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,27,-27.5,700,1300,-125,-275,2957,2427.05022321429,7.99193051985248,1.89514766918949,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,28,-26.5,850,1600,25,25,2033,1503.05022321429,7.61726781362835,1.52048496296536,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,29,-25.5,700,1850,-125,275,1036,506.050223214286,6.94312242281943,0.846339572156445,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,30,-24.5,950,1450,125,-125,1699,1169.05022321429,7.43779512167193,1.34101227100895,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,31,-23.5,750,1650,-75,75,897,367.050223214286,6.7990558620588,0.702273011395813,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,32,-22.5,900,1400,75,-175,1525,995.050223214286,7.32974968904151,1.23296683837853,"BUT","u",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,33,-21.5,800,1750,-25,175,1096,566.050223214286,6.99942246750796,0.902639616844978,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,34,-20.5,850,1950,25,375,506,-23.9497767857143,6.22653666928747,0.129753818624483,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,35,-19.5,950,1700,125,125,537,7.05022321428567,6.28599809450886,0.189215243845882,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,36,-18.5,800,1450,-25,-125,826,296.050223214286,6.71659477352098,0.619811922857995,"BUT","u",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,37,-17.5,950,1200,125,-375,285,-244.949776785714,5.65248918026865,-0.444293670394332,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,38,-16.5,750,1700,-75,125,486,-43.9497767857143,6.18620862390049,0.0894257732375108,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,39,-15.5,850,1350,25,-225,494,-35.9497767857143,6.20253551718792,0.10575266652494,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,40,-14.5,700,1550,-125,-25,2709,2179.05022321429,7.9043348420851,1.80755199142211,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,41,-13.5,850,1200,25,-375,376,-153.949776785714,5.92958914338989,-0.167193707273088,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,42,-12.5,800,1850,-25,275,944,414.050223214286,6.8501261661455,0.753343315482518,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,43,-11.5,950,1300,125,-275,1190,660.050223214286,7.08170858610557,0.984925735442592,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,44,-10.5,950,1950,125,375,1221,691.050223214286,7.1074254741107,1.01064262344772,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,45,-9.5,750,1900,-75,325,497,-32.9497767857143,6.20859002609663,0.111807175433646,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,46,-8.5,700,1750,-125,175,3882,3352.05022321429,8.26410576372896,2.16732291306597,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,47,-7.5,850,1300,25,-275,360,-169.949776785714,5.88610403145016,-0.210678819212827,"BUT","u",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,48,-6.5,950,1850,125,275,527,-2.94977678571433,6.26720054854136,0.17041769787838,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,49,-5.5,800,1550,-25,-25,2820,2290.05022321429,7.94449216393216,1.84770931326918,"BUT","u",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,50,-4.5,750,1550,-75,-25,695,165.050223214286,6.54391184556479,0.447128994901809,"BUT","u",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,51,-3.5,900,1750,75,175,319,-210.949776785714,5.76519110278484,-0.331591747878138,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,52,-2.5,950,1900,125,325,1129,599.050223214286,7.02908756414966,0.932304713486679,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,53,-1.5,950,1350,125,-225,765,235.050223214286,6.63987583382654,0.543092983163553,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
